@relation statlog-image

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute clase {0,1,2,3,4,5,6}

@data
1.27591,0.949531,2.41015,-0.19451,-0.392976,-0.115095,-0.363874,-0.130916,0.591413,0.560073,0.712983,0.469592,-0.765282,1.2962,-1.42874,0.700921,-0.472589,-0.438518,5
-0.163301,0.114514,-0.35697,-0.19451,-0.598821,-0.121713,-0.579319,-0.133963,-0.947253,-0.936767,-0.956461,-0.935919,0.865381,-0.838392,0.552706,-0.992082,2.51022,-0.492034,2
1.0566,-1.43375,-0.35697,-0.19451,-0.351806,-0.110089,-0.363873,-0.122733,2.25232,2.2567,2.19608,2.29065,-1.79164,1.47219,-0.697719,2.20495,-0.996657,-0.606354,1
-1.27355,0.86255,-0.35697,-0.19451,-0.063625,-0.087582,1.82136,-0.025407,0.171336,0.192205,0.199897,0.115159,0.050049,0.33109,-0.611151,0.180594,-0.700712,-0.411536,5
-0.876054,1.28006,-0.35697,-0.19451,-0.166547,-0.093518,0.05163,-0.107432,0.328501,0.325398,0.399005,0.243488,-0.295267,0.739841,-0.957423,0.382512,-0.542984,-0.426689,5
0.330144,1.0713,-0.35697,-0.19451,-0.125378,-0.103492,0.174742,-0.107432,0.32171,0.357111,0.353057,0.246544,0.059642,0.473018,-0.861236,0.335916,-0.6614,-0.381712,5
0.98807,1.83674,-0.35697,-0.19451,-0.187132,-0.092209,-0.348484,-0.130536,-0.505832,-0.534016,-0.604193,-0.355382,0.155563,-1.07115,1.65885,-0.557182,-0.399354,2.59782,6
-1.31467,-0.216014,-0.35697,-0.19451,-0.557652,-0.12194,-0.502374,-0.137589,-0.828894,-0.740149,-0.86967,-0.856477,1.47928,-0.951934,0.129485,-0.891123,0.601204,0.30093,0
-1.69846,-0.7379,-0.35697,-0.19451,3.80625,5.8365,1.88292,3.35171,-0.411727,-0.537187,-0.313189,-0.404269,-0.803651,0.319736,0.264147,-0.339732,0.737548,-0.695973,2
-0.7664,-0.668315,2.41015,-0.19451,0.450987,0.055703,0.420965,0.020354,-0.408817,-0.353254,-0.369348,-0.505099,0.836605,-0.071984,-0.716956,-0.396684,0.046038,-0.19218,0
0.371264,-0.703107,-0.35697,-0.19451,0.945014,-0.097701,-0.41004,-0.128602,-0.275905,-0.2708,-0.251925,-0.306494,0.270669,-0.066307,-0.159074,-0.277604,-0.523316,-0.4532,3
1.68712,0.514626,-0.35697,-0.19451,-0.598821,-0.125904,-0.640875,-0.139668,-0.960835,-0.936767,-0.989646,-0.938975,0.999671,-0.980319,0.658511,-1.02574,2.02355,-0.473359,4
0.165662,0.305872,-0.35697,-0.19451,-0.681158,-0.124274,-0.656264,-0.137858,-0.969566,-0.936767,-1.01262,-0.938975,1.086,-1.08251,0.745079,-1.04903,-1.38313,-0.473359,4
-0.533384,1.28006,2.41015,4.39036,-0.104793,-0.094938,-0.317706,-0.121402,0.685518,0.667896,0.771694,0.591811,-0.717322,1.13724,-1.20751,0.760461,-0.620037,-0.456291,5
1.30333,1.68017,2.41015,-0.19451,0.14222,-0.102119,-0.040704,-0.069576,-0.801729,-0.775033,-0.892644,-0.709815,0.894157,-1.26417,1.24525,-0.85747,0.002019,2.16604,6
1.12514,-0.146429,-0.35697,-0.19451,-0.310638,-0.119958,-0.625486,-0.139605,-0.938521,-0.924082,-0.948803,-0.929808,0.894157,-0.838392,0.52385,-0.984316,2.21822,-0.454684,4
-1.62993,-1.25979,-0.35697,-0.19451,-0.084209,-0.082712,-0.225372,-0.104338,-0.457324,-0.400823,-0.425506,-0.54482,0.884565,-0.162817,-0.611151,-0.453635,0.069939,-0.206035,0
1.07031,1.01912,-0.35697,-0.19451,0.677416,-0.069846,0.328632,-0.111179,0.468204,0.474448,0.549612,0.359596,-0.324044,0.927185,-1.24598,0.535245,-0.526353,-0.399558,5
1.61858,-0.059448,-0.35697,-0.19451,0.945014,-0.030093,-0.240761,-0.10899,0.282904,0.341255,0.27903,0.228211,0.299445,0.206194,-0.649625,0.260843,-0.795288,-0.354511,3
0.289023,-0.459561,-0.35697,-0.19451,3.04463,-0.024783,-0.502374,-0.130409,0.285814,0.376139,0.233082,0.258766,0.587209,-0.1174,-0.389922,0.214247,-1.00643,-0.309213,3
0.809882,0.375456,-0.35697,-0.19451,-0.434145,-0.11367,-0.610097,-0.135544,-0.955984,-0.927254,-0.987093,-0.935919,1.03804,-0.991673,0.639274,-1.02315,0.441878,-0.361117,4
0.727641,0.079721,-0.35697,-0.19451,-0.537067,-0.11971,-0.425429,-0.136645,-0.815312,-0.711607,-0.867118,-0.844255,1.60398,-1.01438,0.110248,-0.867825,0.599273,0.415183,0
0.097128,0.184098,-0.35697,-0.19451,0.286311,-0.056945,-0.25615,-0.11391,-0.808521,-0.873342,-0.752248,-0.804534,0.069234,-0.287713,0.418045,-0.784987,1.78285,-0.662455,2
-0.574504,-1.6599,-0.35697,-0.19451,-0.557652,-0.124274,-0.42543,-0.132428,1.98844,1.90152,1.99697,2.0401,-2.40554,1.68792,-0.447634,2.00303,-0.811975,-0.663278,1
0.014888,1.97591,-0.35697,-0.19451,-0.351807,-0.12194,-0.394651,-0.131859,-0.819192,-0.816259,-0.918171,-0.694538,0.692723,-1.3323,1.56266,-0.844527,0.555908,2.23908,6
1.37186,-1.13801,-0.35697,-0.19451,-0.578236,-0.117906,-0.548541,-0.134318,-0.752252,-0.778204,-0.690984,-0.792313,0.376182,-0.208234,-0.024413,-0.722858,0.855546,-0.456643,4
-1.52027,-0.059448,-0.35697,-0.19451,-0.578236,-0.124335,-0.548541,-0.135133,-0.92882,-0.936767,-0.925829,-0.914531,0.68313,-0.741881,0.571943,-0.961018,2.51022,-0.616581,2
-1.64363,1.50621,-0.35697,4.39036,0.101051,-0.09007,0.559466,-0.095735,0.373128,0.360282,0.462822,0.274043,-0.419965,0.904477,-1.11132,0.447229,-0.478853,-0.425797,5
-0.629332,-1.06843,-0.35697,-0.19451,-0.495898,-0.118719,-0.42543,-0.129843,1.91568,1.9364,1.90508,1.88733,-1.36959,1.50057,-1.16903,1.90984,-0.9587,-0.527557,1
-1.46545,-0.703107,-0.35697,4.39036,1.58313,0.095427,2.89859,0.349277,-0.594116,-0.679894,-0.494428,-0.624262,-0.295267,0.177809,-0.005176,-0.523529,1.04197,-0.589716,2
1.22109,2.13247,-0.35697,-0.19451,0.348064,-0.084546,0.159353,-0.106354,-0.511653,-0.530845,-0.660352,-0.30955,0.241892,-1.41178,2.1494,-0.518352,-0.154813,2.32684,6
-0.42373,0.288476,-0.35697,-0.19451,-0.639989,-0.126565,-0.579319,-0.139416,-0.890984,-0.886027,-0.874776,-0.905365,0.76946,-0.622662,0.283384,-0.909244,1.62495,-0.403066,4
-0.972001,0.323268,-0.35697,-0.19451,-0.434145,-0.108851,-0.117649,-0.104325,-0.922999,-0.911397,-0.930934,-0.914531,0.855789,-0.810006,0.514232,-0.966195,1.50038,-0.473359,4
-0.245541,0.392853,-0.35697,-0.19451,-0.001871,-0.104845,-0.086871,-0.117752,-0.410757,-0.457905,-0.33361,-0.453156,-0.093833,0.177809,-0.207167,-0.360442,0.025812,-0.519029,3
-0.437437,1.95851,2.41015,-0.19451,-0.04304,-0.067185,-0.117649,-0.124301,-0.642624,-0.664038,-0.767564,-0.465378,0.328221,-1.36068,1.97627,-0.650375,0.089149,2.34907,6
1.646,2.18466,-0.35697,-0.19451,0.039298,-0.098568,-0.25615,-0.12978,-0.584415,-0.629154,-0.662904,-0.440935,0.069234,-1.00303,1.63,-0.629666,-0.090582,2.65732,6
-1.05424,0.86255,-0.35697,-0.19451,-0.269469,-0.103454,-0.271539,-0.112251,-0.467026,-0.467419,-0.637378,-0.257607,0.376182,-1.51964,2.1975,-0.474344,-0.338301,2.24058,6
1.56376,-0.024656,-0.35697,-0.19451,-0.598821,-0.125904,-0.579319,-0.137149,-0.825013,-0.736977,-0.862012,-0.856477,1.46969,-0.923548,0.091011,-0.883357,0.676521,0.264967,0
0.809882,0.375456,-0.35697,-0.19451,-0.351807,-0.116367,-0.179205,-0.124275,-0.881282,-0.870171,-0.882434,-0.880921,0.81742,-0.730527,0.418045,-0.91701,1.00618,-0.435898,4
-0.218128,0.392853,-0.35697,-0.19451,-0.681158,-0.124274,-0.656264,-0.137858,-0.969566,-0.936767,-1.01262,-0.938975,1.086,-1.08251,0.745079,-1.04903,-1.38313,-0.473359,2
-0.190714,2.13247,-0.35697,-0.19451,0.471571,-0.080594,0.944192,-0.070225,-0.292398,-0.334226,-0.499534,-0.000948,-0.141793,-1.62183,2.89004,-0.256894,-0.166091,2.31465,6
0.412385,-1.45114,-0.35697,-0.19451,-0.001871,-0.081089,-0.656264,-0.137858,-0.937551,-0.901883,-0.979435,-0.911475,1.086,-1.04844,0.687367,-1.01538,-1.3588,-0.134534,4
