@relation statlog-australian-credit

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute clase {0,1}

@data
-0.800471,1.34613,0.542556,-0.915618,-0.347713,-0.190767,-1.04674,-0.86357,-0.493529,1.08712,0.237655,-0.488004,0.037353,-0.894654,1
-0.750696,0.450221,0.542556,0.170375,-0.347713,-0.61509,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,-0.13949,-0.195272,-0.894654,0
-0.167735,-0.604384,-1.78269,-0.915618,-0.347713,-0.290872,-1.04674,-0.86357,-0.493529,1.08712,0.237655,0.557539,-0.195272,-0.894654,0
-0.835061,1.35417,-1.78269,-0.64412,-0.849641,-0.664395,0.953958,1.15631,1.76848,1.08712,0.237655,-1.06886,-0.195272,1.11613,0
-0.961608,0.685248,0.542556,-0.372622,-0.347713,-0.078711,0.953958,1.15631,2.38539,-0.918529,0.237655,-0.720347,-0.164946,1.11613,1
-1.32775,-0.838407,0.542556,0.170375,1.66,-0.216167,0.953958,1.15631,-0.082255,-0.918529,0.237655,-0.488004,-0.195272,1.11613,0
-1.19361,0.349783,0.542556,-1.18712,-0.347713,-0.627042,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,-0.720347,-0.176078,-0.894654,1
2.28644,-0.060007,0.542556,0.98487,1.66,0.244013,0.953958,1.15631,0.740293,-0.918529,0.237655,-0.819093,-0.087788,1.11613,0
-0.315373,-0.755042,-1.78269,-1.45861,1.66,0.232061,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,-0.046553,-0.092203,-0.894654,1
2.04009,0.466292,0.542556,-0.915618,1.66,1.35263,0.953958,1.15631,0.123382,1.08712,0.237655,-0.488004,-0.185675,-0.894654,0
0.162976,-0.604384,0.542556,1.79936,1.66,0.680288,0.953958,1.15631,0.329019,1.08712,0.237655,0.400707,-0.030784,1.11613,1
0.831146,0.048467,0.542556,0.98487,1.66,0.829698,0.953958,1.15631,0.740293,1.08712,0.237655,1.66117,-0.195272,1.11613,1
-0.919426,-0.704823,-1.78269,0.170375,1.66,-0.253519,0.953958,1.15631,0.123382,1.08712,0.237655,-0.255661,-0.154965,-0.894654,1
0.282774,0.048467,0.542556,1.79936,1.66,1.57674,0.953958,1.15631,0.740293,1.08712,0.237655,-1.06886,-0.003337,1.11613,1
2.27885,-0.411542,0.542556,0.170375,-0.347713,0.057252,-1.04674,-0.86357,-0.493529,1.08712,0.237655,0.789882,-0.195272,-0.894654,1
1.39302,0.257379,0.542556,-0.915618,-0.347713,-0.652442,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,-1.06886,0.321033,1.11613,1
-0.167735,-0.051972,0.542556,0.441873,-0.347713,1.57674,0.953958,1.15631,-0.082255,1.08712,0.237655,0.847968,-0.195272,1.11613,1
-1.06706,0.851976,0.542556,-0.372622,-0.347713,-0.440281,0.953958,1.15631,-0.082255,-0.918529,0.237655,-0.557707,-0.081838,1.11613,0
-0.97595,-0.704823,-1.78269,-0.915618,-0.347713,-0.627042,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,-0.255661,-0.194504,-0.894654,1
-0.771787,0.18205,0.542556,0.98487,-0.347713,0.108051,0.953958,1.15631,0.94593,-0.918529,0.237655,-0.319556,0.42986,1.11613,0
-0.286689,-0.838407,0.542556,-0.372622,-0.347713,-0.652442,-1.04674,-0.86357,-0.493529,-0.918529,0.237655,0.441367,-0.002569,-0.894654,0
