Classifier,Data,numInstances,numAttributes,Accuracy(%),Time(nano)
Linear Perceptron,arffstoprocess/acute-inflammation.arff,120,7,99.8888888888889,70917
Enhanced Perceptron(Online),arffstoprocess/acute-inflammation.arff,120,7,99.91666666666667,21219
Enhanced Perceptron(Online/Standard),arffstoprocess/acute-inflammation.arff,120,7,99.93055555555556,71690
Enhanced Perceptron(Offline),arffstoprocess/acute-inflammation.arff,120,7,99.44444444444444,1655560
Enhanced Perceptron(Offline/Standard),arffstoprocess/acute-inflammation.arff,120,7,99.79166666666667,298380
Ensemble (Enhanced/Online/Standard),arffstoprocess/acute-inflammation.arff,120,7,56.6527777777778,11239472
Multilayer Perceptron,arffstoprocess/acute-inflammation.arff,120,7,100.0,62552198
SMO,arffstoprocess/acute-inflammation.arff,120,7,100.0,10776985
VotedPeceptron,arffstoprocess/acute-inflammation.arff,120,7,97.27777777777777,194360
Linear Perceptron,arffstoprocess/acute-nephritis.arff,120,7,100.0,15226
Enhanced Perceptron(Online),arffstoprocess/acute-nephritis.arff,120,7,100.0,10435
Enhanced Perceptron(Online/Standard),arffstoprocess/acute-nephritis.arff,120,7,99.40277777777777,78641
Enhanced Perceptron(Offline),arffstoprocess/acute-nephritis.arff,120,7,99.80555555555556,384524
Enhanced Perceptron(Offline/Standard),arffstoprocess/acute-nephritis.arff,120,7,99.13888888888887,422719
Ensemble (Enhanced/Online/Standard),arffstoprocess/acute-nephritis.arff,120,7,92.65277777777779,2731231
Multilayer Perceptron,arffstoprocess/acute-nephritis.arff,120,7,100.0,60213045
SMO,arffstoprocess/acute-nephritis.arff,120,7,100.0,6935493
VotedPeceptron,arffstoprocess/acute-nephritis.arff,120,7,98.36111111111111,146257
Linear Perceptron,arffstoprocess/balloons.arff,16,5,67.96875,113923
Enhanced Perceptron(Online),arffstoprocess/balloons.arff,16,5,67.96875,61820
Enhanced Perceptron(Online/Standard),arffstoprocess/balloons.arff,16,5,61.71875,69176
Enhanced Perceptron(Offline),arffstoprocess/balloons.arff,16,5,67.1875,1537592
Enhanced Perceptron(Offline/Standard),arffstoprocess/balloons.arff,16,5,59.375,1544513
Ensemble (Enhanced/Online/Standard),arffstoprocess/balloons.arff,16,5,53.90625,4305789
Multilayer Perceptron,arffstoprocess/balloons.arff,16,5,64.0625,5789610
SMO,arffstoprocess/balloons.arff,16,5,57.03125,2163788
VotedPeceptron,arffstoprocess/balloons.arff,16,5,63.28125,45611
Linear Perceptron,arffstoprocess/blood.arff,748,5,57.0083502530813,71220
Enhanced Perceptron(Online),arffstoprocess/blood.arff,748,5,57.59208155795135,66594
Enhanced Perceptron(Online/Standard),arffstoprocess/blood.arff,748,5,66.88030827304182,161487
Enhanced Perceptron(Offline),arffstoprocess/blood.arff,748,5,54.24697589293379,14591168
Enhanced Perceptron(Offline/Standard),arffstoprocess/blood.arff,748,5,54.67342503360115,11678277
Ensemble (Enhanced/Online/Standard),arffstoprocess/blood.arff,748,5,75.07220681174763,7122035
Multilayer Perceptron,arffstoprocess/blood.arff,748,5,78.09309674282926,263298902
SMO,arffstoprocess/blood.arff,748,5,76.19176985329854,10717431
VotedPeceptron,arffstoprocess/blood.arff,748,5,77.59730046612708,1472236
Linear Perceptron,arffstoprocess/breast-cancer-wisc-diag.arff,569,31,96.00175746924444,165644
Enhanced Perceptron(Online),arffstoprocess/breast-cancer-wisc-diag.arff,569,31,96.05497660833197,182598
Enhanced Perceptron(Online/Standard),arffstoprocess/breast-cancer-wisc-diag.arff,569,31,95.97329141810457,1750284
Enhanced Perceptron(Offline),arffstoprocess/breast-cancer-wisc-diag.arff,569,31,95.73194881061431,36659276
Enhanced Perceptron(Offline/Standard),arffstoprocess/breast-cancer-wisc-diag.arff,569,31,95.63541176761805,36629393
Ensemble (Enhanced/Online/Standard),arffstoprocess/breast-cancer-wisc-diag.arff,569,31,89.89578949974013,26441058
Multilayer Perceptron,arffstoprocess/breast-cancer-wisc-diag.arff,569,31,96.13233000816875,2186695188
SMO,arffstoprocess/breast-cancer-wisc-diag.arff,569,31,97.0116834575115,5825105
VotedPeceptron,arffstoprocess/breast-cancer-wisc-diag.arff,569,31,96.25671427510588,509718
Linear Perceptron,arffstoprocess/breast-cancer-wisc-prog.arff,198,34,55.72900724415878,196178
Enhanced Perceptron(Online),arffstoprocess/breast-cancer-wisc-prog.arff,198,34,56.27486991123358,166149
Enhanced Perceptron(Online/Standard),arffstoprocess/breast-cancer-wisc-prog.arff,198,34,58.57055402509952,762847
Enhanced Perceptron(Offline),arffstoprocess/breast-cancer-wisc-prog.arff,198,34,56.23915926946235,14742286
Enhanced Perceptron(Offline/Standard),arffstoprocess/breast-cancer-wisc-prog.arff,198,34,58.59096010611161,15226922
Ensemble (Enhanced/Online/Standard),arffstoprocess/breast-cancer-wisc-prog.arff,198,34,62.55994286297315,13847671
