Classifier,n,Milliseconds,Standard Deviation
Enhanced Perceptron(Online),29,0.058512448,0.009885924
Enhanced Perceptron(Online),57,0.073943439,0.005981814
Enhanced Perceptron(Online),86,0.128920093,0.010453788
Enhanced Perceptron(Online),114,0.252505939,0.027249967
Enhanced Perceptron(Online),143,0.204625497,0.027467973
Enhanced Perceptron(Online),171,0.164726977,0.01737303
Enhanced Perceptron(Online),200,0.233326795,0.021794482
Enhanced Perceptron(Online),228,0.229536614,0.086652519
Enhanced Perceptron(Online),257,0.19566393,0.0193699
Enhanced Perceptron(Online),285,0.224592165,0.019365165
Enhanced Perceptron(Offline),29,0.068556448,0.004950201
Enhanced Perceptron(Offline),57,0.257613737,0.024057672
Enhanced Perceptron(Offline),86,0.582583953,0.052992026
Enhanced Perceptron(Offline),114,1.275977114,0.111844064
Enhanced Perceptron(Offline),143,2.088904615,0.166380841
Enhanced Perceptron(Offline),171,2.76976352,0.275940078
Enhanced Perceptron(Offline),200,3.71039136,0.238722521
Enhanced Perceptron(Offline),228,5.792548443,0.324373778
Enhanced Perceptron(Offline),257,5.860310619,0.424344507
Enhanced Perceptron(Offline),285,8.744260586,0.452053949
Enhanced Perceptron(Online/Standard),29,0.100508862,0.01332311
Enhanced Perceptron(Online/Standard),57,0.28270893,0.239221897
Enhanced Perceptron(Online/Standard),86,0.394977116,0.037623662
Enhanced Perceptron(Online/Standard),114,0.513126772,0.128291
Enhanced Perceptron(Online/Standard),143,0.634691531,0.109962969
Enhanced Perceptron(Online/Standard),171,0.764319047,0.14398844
Enhanced Perceptron(Online/Standard),200,0.857675535,0.106466238
Enhanced Perceptron(Online/Standard),228,0.920368846,0.13873388
Enhanced Perceptron(Online/Standard),257,0.985842599,0.125431753
Enhanced Perceptron(Online/Standard),285,1.107671105,0.19976674
Enhanced Perceptron(Offline/Standard),29,0.160008966,0.015543342
Enhanced Perceptron(Offline/Standard),57,0.441109579,0.052303697
Enhanced Perceptron(Offline/Standard),86,0.95678243,0.196209024
Enhanced Perceptron(Offline/Standard),114,1.346359614,0.184342094
Enhanced Perceptron(Offline/Standard),143,2.037695734,0.208873864
Enhanced Perceptron(Offline/Standard),171,3.961129778,0.350632673
Enhanced Perceptron(Offline/Standard),200,5.253556435,2.606712973
Enhanced Perceptron(Offline/Standard),228,8.325385649,8.054212459
Enhanced Perceptron(Offline/Standard),257,6.919086027,0.437871844
Enhanced Perceptron(Offline/Standard),285,9.939287982,0.580224784
Enhanced Perceptron(Model Selection),29,1.242454207,0.122735281
Enhanced Perceptron(Model Selection),57,3.195452281,0.305711612
Enhanced Perceptron(Model Selection),86,7.395013779,0.40744393
Enhanced Perceptron(Model Selection),114,12.3949183,0.49809302
Enhanced Perceptron(Model Selection),143,18.12102908,1.015496292
Enhanced Perceptron(Model Selection),171,29.66430965,0.688643714
Enhanced Perceptron(Model Selection),200,44.22811952,1.960060763
Enhanced Perceptron(Model Selection),228,44.01878869,1.218480596
Enhanced Perceptron(Model Selection),257,74.89150034,1.817538323
Enhanced Perceptron(Model Selection),285,72.20746773,1.759863705
Ensemble (Enhanced/Online/Standard),29,12.81791303,0.766109586
Ensemble (Enhanced/Online/Standard),57,13.21742995,0.652258168
Ensemble (Enhanced/Online/Standard),86,13.84862873,0.619300283
Ensemble (Enhanced/Online/Standard),114,16.44253,0.714234964
Ensemble (Enhanced/Online/Standard),143,17.61777776,0.745861849
Ensemble (Enhanced/Online/Standard),171,17.62090389,0.730471687
Ensemble (Enhanced/Online/Standard),200,19.63332009,0.77108853
Ensemble (Enhanced/Online/Standard),228,19.64589802,0.896449171
Ensemble (Enhanced/Online/Standard),257,20.07994681,1.091920355
Ensemble (Enhanced/Online/Standard),285,20.03430042,1.381996256
Multilayer Perceptron,29,122.4300223,4.510008443
Multilayer Perceptron,57,229.4588837,7.726022349
Multilayer Perceptron,86,344.5168098,10.68573475
Multilayer Perceptron,114,450.1282855,14.10817777
Multilayer Perceptron,143,553.9290896,17.88332798
Multilayer Perceptron,171,663.6183438,16.63824241
Multilayer Perceptron,200,780.3588377,21.07060438
Multilayer Perceptron,228,872.7448183,12.41864565
Multilayer Perceptron,257,974.0481278,19.05489486
Multilayer Perceptron,285,1108.566212,38.43526274
SMO,29,2.442834828,1.009174407
SMO,57,2.379670754,0.223854172
SMO,86,2.480698965,0.559614349
SMO,114,3.024813386,3.916506552
SMO,143,2.697727545,0.160477559
SMO,171,3.117259041,0.969422919
SMO,200,2.897269315,0.270179803
SMO,228,2.979868004,0.187587193
SMO,257,3.540920086,0.276396867
SMO,285,3.42803114,0.246588941
VotedPeceptron,29,0.152855655,0.022304867
VotedPeceptron,57,0.206823579,0.020366232
VotedPeceptron,86,0.253849605,0.021101276
VotedPeceptron,114,0.308524816,0.023849437
VotedPeceptron,143,0.266534315,0.022808555
VotedPeceptron,171,0.288901906,0.023049114
VotedPeceptron,200,0.365741935,0.031185793
VotedPeceptron,228,0.452604311,0.033986063
VotedPeceptron,257,0.404566984,0.033299734
VotedPeceptron,285,0.434172681,0.04645117
